Data TLB contains 2 sets.
Each set contains 1 entries.
Number of bits used for the index is 1.

Number of virtual pages is 8.
Number of physical pages is 8.
Each page contains 512 bytes.
Number of bits used for the page table index is 3.
Number of bits used for the page offset is 9.

D-cache contains 4 sets.
Each set contains 1 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 2.
Number of bits used for the offset is 4.

L2-cache contains 16 sets.
Each set contains 4 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 4.
Number of bits used for the offset is 4.

The addresses read in are virtual addresses.

Virtual  Virt.  Page TLB    TLB TLB  PT   Phys        DC  DC          L2  L2  
Address  Page # Off  Tag    Ind Res. Res. Pg # DC Tag Ind Res. L2 Tag Ind Res.
-------- ------ ---- ------ --- ---- ---- ---- ------ --- ---- ------ --- ----
000009c7      4  1c7      2   0 miss hit     4     27   0 miss      9   c miss
00000bc6      5  1c6      2   1 miss hit     0      7   0 miss      1   c hit 
00000814      4   14      2   0 hit          4     20   1 miss      8   1 miss
00000a33      5   33      2   1 hit          0      0   3 miss      0   3 miss
000002a5      1   a5      0   1 miss hit     6     32   2 miss      c   a miss
00000bef      5  1ef      2   1 miss hit     0      7   2 miss      1   e hit 
000007c1      3  1c1      1   1 miss hit     1      f   0 miss      3   c miss
00000408      2    8      1   0 miss hit     7     38   0 miss      e   0 miss
00000184      0  184      0   0 miss hit     3     1e   0 miss      7   8 miss
000002aa      1   aa      0   1 miss hit     6     32   2 miss      c   a hit 
0000008f      0   8f      0   0 hit          3     1a   0 miss      6   8 hit 
00000c55      6   55      3   0 miss hit     5     29   1 miss      a   5 miss
00000fcf      7  1cf      3   1 miss hit     2     17   0 miss      5   c miss
00000083      0   83      0   0 miss hit     3     1a   0 miss      6   8 hit 
0000053a      2  13a      1   0 miss hit     7     3c   3 miss      f   3 miss
00000f3d      7  13d      3   1 hit          2     14   3 miss      5   3 hit 
000007cd      3  1cd      1   1 miss hit     1      f   0 miss      3   c hit 
00000f8e      7  18e      3   1 miss hit     2     16   0 miss      5   8 hit 
00000555      2  155      1   0 hit          7     3d   1 miss      f   5 miss
00000982      4  182      2   0 miss hit     4     26   0 miss      9   8 miss
00000e62      7   62      3   1 hit          2     11   2 miss      4   6 hit 
00000a10      5   10      2   1 miss hit     0      0   1 miss      0   1 hit 
000009d7      4  1d7      2   0 hit          4     27   1 miss      9   d miss
00000db6      6  1b6      3   0 miss hit     5     2e   3 miss      b   b miss
000005bf      2  1bf      1   0 miss hit     7     3e   3 miss      f   b miss
00000a0f      5    f      2   1 hit          0      0   0 miss      0   0 miss
00000fbe      7  1be      3   1 miss hit     2     16   3 miss      5   b miss
00000bb4      5  1b4      2   1 miss hit     0      6   3 miss      1   b miss
00000f01      7  101      3   1 miss hit     2     14   0 miss      5   0 miss
000009f9      4  1f9      2   0 miss hit     4     27   3 miss      9   f hit 
000000d4      0   d4      0   0 miss hit     3     1b   1 miss      6   d miss
000007f0      3  1f0      1   1 miss hit     1      f   3 miss      3   f miss
000002ba      1   ba      0   1 miss hit     6     32   3 miss      c   b miss
00000809      4    9      2   0 miss hit     4     20   0 miss      8   0 miss
00000ba5      5  1a5      2   1 miss hit     0      6   2 miss      1   a miss
00000edc      7   dc      3   1 miss hit     2     13   1 miss      4   d miss
00000882      4   82      2   0 hit          4     22   0 miss      8   8 miss
0000035e      1  15e      0   1 miss hit     6     35   1 miss      d   5 hit 
00000046      0   46      0   0 miss hit     3     19   0 miss      6   4 miss
00000b04      5  104      2   1 miss hit     0      4   0 miss      1   0 miss
00000fa6      7  1a6      3   1 miss hit     2     16   2 miss      5   a hit 
00000c26      6   26      3   0 miss hit     5     28   2 miss      a   2 miss
000007f3      3  1f3      1   1 miss hit     1      f   3 miss      3   f hit 
000003e9      1  1e9      0   1 miss hit     6     37   2 miss      d   e miss
00000cea      6   ea      3   0 hit          5     2b   2 miss      a   e miss
0000063c      3   3c      1   1 miss hit     1      8   3 miss      2   3 miss
00000165      0  165      0   0 miss hit     3     1d   2 miss      7   6 miss
000004e7      2   e7      1   0 miss hit     7     3b   2 miss      e   e miss
00000286      1   86      0   1 miss hit     6     32   0 miss      c   8 miss
00000d0d      6  10d      3   0 miss hit     5     2c   0 miss      b   0 miss
00000117      0  117      0   0 miss hit     3     1c   1 miss      7   1 miss
000004f8      2   f8      1   0 miss hit     7     3b   3 miss      e   f miss
00000db2      6  1b2      3   0 miss hit     5     2e   3 miss      b   b miss
00000929      4  129      2   0 miss hit     4     24   2 miss      9   2 miss
00000ee1      7   e1      3   1 miss hit     2     13   2 miss      4   e miss
000003a6      1  1a6      0   1 miss hit     6     36   2 miss      d   a miss
000008db      4   db      2   0 hit          4     23   1 miss      8   d miss
00000b50      5  150      2   1 miss hit     0      5   1 miss      1   5 miss
000009c4      4  1c4      2   0 hit          4     27   0 miss      9   c hit 
00000d54      6  154      3   0 miss hit     5     2d   1 miss      b   5 miss
00000e12      7   12      3   1 miss hit     2     10   1 miss      4   1 miss
00000e39      7   39      3   1 hit          2     10   3 miss      4   3 miss
00000349      1  149      0   1 miss hit     6     35   0 miss      d   4 hit 
00000588      2  188      1   0 miss hit     7     3e   0 miss      f   8 miss
000002b8      1   b8      0   1 hit          6     32   3 miss      c   b hit 
0000058c      2  18c      1   0 hit          7     3e   0 hit                 
0000051c      2  11c      1   0 hit          7     3c   1 miss      f   1 miss
000004f3      2   f3      1   0 hit          7     3b   3 miss      e   f hit 
000004bd      2   bd      1   0 hit          7     3a   3 miss      e   b miss
00000711      3  111      1   1 miss hit     1      c   1 miss      3   1 miss
00000a72      5   72      2   1 miss hit     0      1   3 miss      0   7 miss
00000afc      5   fc      2   1 hit          0      3   3 miss      0   f miss
00000c2f      6   2f      3   0 miss hit     5     28   2 miss      a   2 hit 
00000f92      7  192      3   1 miss hit     2     16   1 miss      5   9 miss
00000387      1  187      0   1 miss hit     6     36   0 miss      d   8 miss
00000a06      5    6      2   1 miss hit     0      0   0 miss      0   0 miss
000000ff      0   ff      0   0 miss hit     3     1b   3 miss      6   f miss
00000c58      6   58      3   0 miss hit     5     29   1 miss      a   5 miss
00000458      2   58      1   0 miss hit     7     39   1 miss      e   5 miss
000002c8      1   c8      0   1 miss hit     6     33   0 miss      c   c miss
00000095      0   95      0   0 miss hit     3     1a   1 miss      6   9 miss
0000059f      2  19f      1   0 miss hit     7     3e   1 miss      f   9 miss
00000507      2  107      1   0 hit          7     3c   0 miss      f   0 miss
00000dd9      6  1d9      3   0 miss hit     5     2f   1 miss      b   d miss
000000a2      0   a2      0   0 miss hit     3     1a   2 miss      6   a miss
00000ce8      6   e8      3   0 miss hit     5     2b   2 miss      a   e hit 
00000783      3  183      1   1 miss hit     1      e   0 miss      3   8 miss
000005eb      2  1eb      1   0 miss hit     7     3f   2 miss      f   e miss
00000d9e      6  19e      3   0 miss hit     5     2e   1 miss      b   9 miss
00000a14      5   14      2   1 miss hit     0      0   1 miss      0   1 miss
00000122      0  122      0   0 miss hit     3     1c   2 miss      7   2 miss
00000a24      5   24      2   1 hit          0      0   2 miss      0   2 miss
0000006a      0   6a      0   0 hit          3     19   2 miss      6   6 hit 
00000d5a      6  15a      3   0 miss hit     5     2d   1 miss      b   5 hit 
0000009e      0   9e      0   0 miss hit     3     1a   1 miss      6   9 hit 
00000ccf      6   cf      3   0 miss hit     5     2b   0 miss      a   c miss
00000d47      6  147      3   0 hit          5     2d   0 miss      b   4 miss
00000eef      7   ef      3   1 miss hit     2     13   2 miss      4   e hit 
00000811      4   11      2   0 miss hit     4     20   1 miss      8   1 miss
00000681      3   81      1   1 miss hit     1      a   0 miss      2   8 miss
0000037b      1  17b      0   1 miss hit     6     35   3 miss      d   7 miss
00000721      3  121      1   1 miss hit     1      c   2 miss      3   2 miss
00000a4c      5   4c      2   1 miss hit     0      1   0 miss      0   4 miss
00000de3      6  1e3      3   0 miss hit     5     2f   2 miss      b   e miss
00000775      3  175      1   1 miss hit     1      d   3 miss      3   7 miss
00000e04      7    4      3   1 miss hit     2     10   0 miss      4   0 miss
00000c23      6   23      3   0 hit          5     28   2 miss      a   2 hit 
00000936      4  136      2   0 miss hit     4     24   3 miss      9   3 miss
000005e7      2  1e7      1   0 miss hit     7     3f   2 miss      f   e hit 
000003c4      1  1c4      0   1 miss hit     6     37   0 miss      d   c miss
00000f69      7  169      3   1 miss hit     2     15   2 miss      5   6 miss
000006b3      3   b3      1   1 miss hit     1      a   3 miss      2   b miss
000000d6      0   d6      0   0 miss hit     3     1b   1 miss      6   d hit 
00000948      4  148      2   0 miss hit     4     25   0 miss      9   4 miss
00000baa      5  1aa      2   1 miss hit     0      6   2 miss      1   a hit 
00000b50      5  150      2   1 hit          0      5   1 miss      1   5 hit 
00000978      4  178      2   0 hit          4     25   3 miss      9   7 miss
000005c9      2  1c9      1   0 miss hit     7     3f   0 miss      f   c miss
000007fe      3  1fe      1   1 miss hit     1      f   3 miss      3   f hit 
00000c10      6   10      3   0 miss hit     5     28   1 miss      a   1 miss
0000031c      1  11c      0   1 miss hit     6     34   1 miss      d   1 miss
00000588      2  188      1   0 miss hit     7     3e   0 miss      f   8 hit 
00000e87      7   87      3   1 miss hit     2     12   0 miss      4   8 miss
00000c0f      6    f      3   0 miss hit     5     28   0 miss      a   0 miss
00000368      1  168      0   1 miss hit     6     35   2 miss      d   6 miss
00000895      4   95      2   0 miss hit     4     22   1 miss      8   9 miss
00000e37      7   37      3   1 miss hit     2     10   3 miss      4   3 hit 
0000035d      1  15d      0   1 miss hit     6     35   1 miss      d   5 miss
00000f94      7  194      3   1 miss hit     2     16   1 miss      5   9 miss
00000d69      6  169      3   0 miss hit     5     2d   2 miss      b   6 miss
000005d2      2  1d2      1   0 miss hit     7     3f   1 miss      f   d miss
000007b8      3  1b8      1   1 miss hit     1      e   3 miss      3   b miss
00000633      3   33      1   1 hit          1      8   3 miss      2   3 hit 
00000bac      5  1ac      2   1 miss hit     0      6   2 miss      1   a hit 
00000bec      5  1ec      2   1 hit          0      7   2 miss      1   e miss
0000015e      0  15e      0   0 miss hit     3     1d   1 miss      7   5 miss
0000052b      2  12b      1   0 miss hit     7     3c   2 miss      f   2 miss
00000590      2  190      1   0 hit          7     3e   1 miss      f   9 miss
00000adc      5   dc      2   1 hit          0      3   1 miss      0   d miss
0000018a      0  18a      0   0 miss hit     3     1e   0 miss      7   8 miss
00000c05      6    5      3   0 miss hit     5     28   0 miss      a   0 hit 
00000a97      5   97      2   1 hit          0      2   1 miss      0   9 miss
000008f5      4   f5      2   0 miss hit     4     23   3 miss      8   f miss
00000670      3   70      1   1 miss hit     1      9   3 miss      2   7 miss
000001af      0  1af      0   0 miss hit     3     1e   2 miss      7   a miss
00000a75      5   75      2   1 miss hit     0      1   3 miss      0   7 miss
00000c7a      6   7a      3   0 miss hit     5     29   3 miss      a   7 miss
00000bd5      5  1d5      2   1 hit          0      7   1 miss      1   d miss
000001c9      0  1c9      0   0 miss hit     3     1f   0 miss      7   c miss
000006cd      3   cd      1   1 miss hit     1      b   0 miss      2   c miss
00000573      2  173      1   0 miss hit     7     3d   3 miss      f   7 miss
00000ebe      7   be      3   1 miss hit     2     12   3 miss      4   b miss
00000cce      6   ce      3   0 miss hit     5     2b   0 miss      a   c miss
00000bba      5  1ba      2   1 miss hit     0      6   3 miss      1   b miss
00000eca      7   ca      3   1 miss hit     2     13   0 miss      4   c miss
00000937      4  137      2   0 miss hit     4     24   3 miss      9   3 hit 
00000758      3  158      1   1 miss hit     1      d   1 miss      3   5 miss
000002b7      1   b7      0   1 miss hit     6     32   3 miss      c   b miss
00000caf      6   af      3   0 miss hit     5     2a   2 miss      a   a miss
0000074f      3  14f      1   1 miss hit     1      d   0 miss      3   4 miss
00000c38      6   38      3   0 hit          5     28   3 miss      a   3 miss
00000164      0  164      0   0 miss hit     3     1d   2 miss      7   6 miss
000007e3      3  1e3      1   1 hit          1      f   2 miss      3   e miss
00000970      4  170      2   0 miss hit     4     25   3 miss      9   7 miss
00000d75      6  175      3   0 miss hit     5     2d   3 miss      b   7 miss
0000072e      3  12e      1   1 hit          1      c   2 miss      3   2 hit 
00000a4d      5   4d      2   1 miss hit     0      1   0 miss      0   4 hit 
00000784      3  184      1   1 miss hit     1      e   0 miss      3   8 miss
000007dc      3  1dc      1   1 hit          1      f   1 miss      3   d miss
0000050a      2  10a      1   0 miss hit     7     3c   0 miss      f   0 hit 
0000061d      3   1d      1   1 hit          1      8   1 miss      2   1 miss
000001d1      0  1d1      0   0 miss hit     3     1f   1 miss      7   d miss
000007c6      3  1c6      1   1 hit          1      f   0 miss      3   c miss
00000dc2      6  1c2      3   0 miss hit     5     2f   0 miss      b   c miss
000001e2      0  1e2      0   0 miss hit     3     1f   2 miss      7   e miss
00000c03      6    3      3   0 miss hit     5     28   0 miss      a   0 hit 
00000b1a      5  11a      2   1 miss hit     0      4   1 miss      1   1 miss
00000a8f      5   8f      2   1 hit          0      2   0 miss      0   8 miss
00000027      0   27      0   0 miss hit     3     18   2 miss      6   2 miss
00000b81      5  181      2   1 hit          0      6   0 miss      1   8 miss
00000ac5      5   c5      2   1 hit          0      3   0 miss      0   c miss
00000675      3   75      1   1 miss hit     1      9   3 miss      2   7 miss
00000abb      5   bb      2   1 miss hit     0      2   3 miss      0   b miss
00000f04      7  104      3   1 miss hit     2     14   0 miss      5   0 miss
00000922      4  122      2   0 miss hit     4     24   2 miss      9   2 miss
00000bec      5  1ec      2   1 miss hit     0      7   2 miss      1   e hit 
0000036d      1  16d      0   1 miss hit     6     35   2 miss      d   6 hit 
000005a8      2  1a8      1   0 miss hit     7     3e   2 miss      f   a miss
00000af7      5   f7      2   1 miss hit     0      3   3 miss      0   f hit 
00000256      1   56      0   1 miss hit     6     31   1 miss      c   5 miss
00000cb7      6   b7      3   0 miss hit     5     2a   3 miss      a   b miss
00000607      3    7      1   1 miss hit     1      8   0 miss      2   0 miss
000008de      4   de      2   0 miss hit     4     23   1 miss      8   d miss
00000a10      5   10      2   1 miss hit     0      0   1 miss      0   1 miss
0000051c      2  11c      1   0 miss hit     7     3c   1 miss      f   1 miss
00000cfd      6   fd      3   0 miss hit     5     2b   3 miss      a   f miss
00000ba0      5  1a0      2   1 hit          0      6   2 miss      1   a hit 
000002f8      1   f8      0   1 miss hit     6     33   3 miss      c   f miss
00000cef      6   ef      3   0 hit          5     2b   2 miss      a   e miss
000004e6      2   e6      1   0 miss hit     7     3b   2 miss      e   e miss
0000091a      4  11a      2   0 miss hit     4     24   1 miss      9   1 miss
00000778      3  178      1   1 miss hit     1      d   3 miss      3   7 miss
00000cc9      6   c9      3   0 miss hit     5     2b   0 miss      a   c miss
000008df      4   df      2   0 miss hit     4     23   1 miss      8   d hit 
000009ad      4  1ad      2   0 hit          4     26   2 miss      9   a miss
00000156      0  156      0   0 miss hit     3     1d   1 miss      7   5 hit 
000001ea      0  1ea      0   0 hit          3     1f   2 miss      7   e hit 
00000b8e      5  18e      2   1 miss hit     0      6   0 miss      1   8 hit 
00000580      2  180      1   0 miss hit     7     3e   0 miss      f   8 miss
00000a28      5   28      2   1 hit          0      0   2 miss      0   2 miss
000002cf      1   cf      0   1 miss hit     6     33   0 miss      c   c miss
000005dd      2  1dd      1   0 hit          7     3f   1 miss      f   d miss
000005c7      2  1c7      1   0 hit          7     3f   0 miss      f   c miss
00000d39      6  139      3   0 miss hit     5     2c   3 miss      b   3 miss
00000081      0   81      0   0 miss hit     3     1a   0 miss      6   8 miss
00000bf4      5  1f4      2   1 miss hit     0      7   3 miss      1   f miss
000006c4      3   c4      1   1 miss hit     1      b   0 miss      2   c miss
00000919      4  119      2   0 miss hit     4     24   1 miss      9   1 hit 
0000084d      4   4d      2   0 hit          4     21   0 miss      8   4 miss
00000fc6      7  1c6      3   1 miss hit     2     17   0 miss      5   c miss
000002be      1   be      0   1 miss hit     6     32   3 miss      c   b hit 
000005f1      2  1f1      1   0 miss hit     7     3f   3 miss      f   f miss
000009b7      4  1b7      2   0 miss hit     4     26   3 miss      9   b miss
00000c9b      6   9b      3   0 miss hit     5     2a   1 miss      a   9 miss
00000a04      5    4      2   1 miss hit     0      0   0 miss      0   0 miss
00000fcf      7  1cf      3   1 miss hit     2     17   0 miss      5   c hit 
000003ff      1  1ff      0   1 miss hit     6     37   3 miss      d   f miss
00000779      3  179      1   1 miss hit     1      d   3 miss      3   7 hit 
000009f0      4  1f0      2   0 miss hit     4     27   3 miss      9   f miss
000006f7      3   f7      1   1 hit          1      b   3 miss      2   f miss
00000889      4   89      2   0 hit          4     22   0 miss      8   8 miss
00000174      0  174      0   0 miss hit     3     1d   3 miss      7   7 miss
000001de      0  1de      0   0 hit          3     1f   1 miss      7   d hit 
000007ca      3  1ca      1   1 hit          1      f   0 miss      3   c miss
00000ae5      5   e5      2   1 miss hit     0      3   2 miss      0   e miss
000001c5      0  1c5      0   0 hit          3     1f   0 miss      7   c miss
00000b78      5  178      2   1 hit          0      5   3 miss      1   7 miss
000000fe      0   fe      0   0 hit          3     1b   3 miss      6   f miss
000001bc      0  1bc      0   0 hit          3     1e   3 miss      7   b miss
00000340      1  140      0   1 miss hit     6     35   0 miss      d   4 miss
00000b26      5  126      2   1 miss hit     0      4   2 miss      1   2 miss
0000049d      2   9d      1   0 miss hit     7     3a   1 miss      e   9 miss
000005b6      2  1b6      1   0 hit          7     3e   3 miss      f   b miss
00000dce      6  1ce      3   0 miss hit     5     2f   0 miss      b   c miss
00000cfc      6   fc      3   0 hit          5     2b   3 miss      a   f miss
00000684      3   84      1   1 miss hit     1      a   0 miss      2   8 miss
00000066      0   66      0   0 miss hit     3     19   2 miss      6   6 miss
00000ca2      6   a2      3   0 miss hit     5     2a   2 miss      a   a hit 
00000070      0   70      0   0 miss hit     3     19   3 miss      6   7 miss
000000da      0   da      0   0 hit          3     1b   1 miss      6   d miss
00000e32      7   32      3   1 miss hit     2     10   3 miss      4   3 miss
0000059d      2  19d      1   0 miss hit     7     3e   1 miss      f   9 hit 
00000054      0   54      0   0 miss hit     3     19   1 miss      6   5 miss
00000f62      7  162      3   1 hit          2     15   2 miss      5   6 miss
00000178      0  178      0   0 hit          3     1d   3 miss      7   7 hit 
000000c9      0   c9      0   0 hit          3     1b   0 miss      6   c miss
00000210      1   10      0   1 miss hit     6     30   1 miss      c   1 miss
000007ff      3  1ff      1   1 miss hit     1      f   3 miss      3   f miss
0000091e      4  11e      2   0 miss hit     4     24   1 miss      9   1 hit 
000006b5      3   b5      1   1 hit          1      a   3 miss      2   b miss
000005dc      2  1dc      1   0 miss hit     7     3f   1 miss      f   d hit 
00000281      1   81      0   1 miss hit     6     32   0 miss      c   8 miss
00000544      2  144      1   0 hit          7     3d   0 miss      f   4 miss
00000124      0  124      0   0 miss hit     3     1c   2 miss      7   2 miss
00000fbb      7  1bb      3   1 miss hit     2     16   3 miss      5   b miss
0000056e      2  16e      1   0 miss hit     7     3d   2 miss      f   6 miss
0000082d      4   2d      2   0 miss hit     4     20   2 miss      8   2 miss
00000857      4   57      2   0 hit          4     21   1 miss      8   5 miss
00000c85      6   85      3   0 miss hit     5     2a   0 miss      a   8 miss
000007a9      3  1a9      1   1 miss hit     1      e   2 miss      3   a miss
0000032d      1  12d      0   1 miss hit     6     34   2 miss      d   2 miss
00000925      4  125      2   0 miss hit     4     24   2 miss      9   2 miss
00000196      0  196      0   0 miss hit     3     1e   1 miss      7   9 miss
00000886      4   86      2   0 miss hit     4     22   0 miss      8   8 hit 
0000062d      3   2d      1   1 miss hit     1      8   2 miss      2   2 miss
0000012c      0  12c      0   0 miss hit     3     1c   2 miss      7   2 miss
000000e0      0   e0      0   0 hit          3     1b   2 miss      6   e miss
0000077d      3  17d      1   1 hit          1      d   3 miss      3   7 hit 
000009fe      4  1fe      2   0 miss hit     4     27   3 miss      9   f miss
0000004f      0   4f      0   0 miss hit     3     19   0 miss      6   4 miss
000004ed      2   ed      1   0 miss hit     7     3b   2 miss      e   e hit 
00000162      0  162      0   0 miss hit     3     1d   2 miss      7   6 miss
00000c5c      6   5c      3   0 miss hit     5     29   1 miss      a   5 miss
00000d19      6  119      3   0 hit          5     2c   1 miss      b   1 miss
00000373      1  173      0   1 miss hit     6     35   3 miss      d   7 miss
000007ee      3  1ee      1   1 miss hit     1      f   2 miss      3   e miss
000009e3      4  1e3      2   0 miss hit     4     27   2 miss      9   e miss
0000030c      1  10c      0   1 miss hit     6     34   0 miss      d   0 miss
00000af5      5   f5      2   1 miss hit     0      3   3 miss      0   f miss
00000c2d      6   2d      3   0 miss hit     5     28   2 miss      a   2 miss
00000453      2   53      1   0 miss hit     7     39   1 miss      e   5 miss
00000e6e      7   6e      3   1 miss hit     2     11   2 miss      4   6 miss
000005f6      2  1f6      1   0 hit          7     3f   3 miss      f   f miss
00000b4d      5  14d      2   1 miss hit     0      5   0 miss      1   4 miss
000007e4      3  1e4      1   1 miss hit     1      f   2 miss      3   e hit 
0000003a      0   3a      0   0 miss hit     3     18   3 miss      6   3 miss
00000722      3  122      1   1 hit          1      c   2 miss      3   2 miss
0000046d      2   6d      1   0 miss hit     7     39   2 miss      e   6 miss
000001b4      0  1b4      0   0 miss hit     3     1e   3 miss      7   b hit 
00000d11      6  111      3   0 miss hit     5     2c   1 miss      b   1 hit 
00000cb7      6   b7      3   0 hit          5     2a   3 miss      a   b miss
00000d52      6  152      3   0 hit          5     2d   1 miss      b   5 miss
000006a4      3   a4      1   1 hit          1      a   2 miss      2   a miss
00000b46      5  146      2   1 miss hit     0      5   0 hit                 
00000647      3   47      1   1 miss hit     1      9   0 miss      2   4 miss
00000d2f      6  12f      3   0 hit          5     2c   2 miss      b   2 miss
000004e5      2   e5      1   0 miss hit     7     3b   2 miss      e   e hit 
00000c36      6   36      3   0 miss hit     5     28   3 miss      a   3 hit 
00000ffe      7  1fe      3   1 miss hit     2     17   3 miss      5   f miss
00000813      4   13      2   0 miss hit     4     20   1 miss      8   1 miss
00000903      4  103      2   0 hit          4     24   0 miss      9   0 miss
00000055      0   55      0   0 miss hit     3     19   1 miss      6   5 miss
000008d7      4   d7      2   0 miss hit     4     23   1 miss      8   d hit 
00000505      2  105      1   0 miss hit     7     3c   0 miss      f   0 miss
00000f74      7  174      3   1 hit          2     15   3 miss      5   7 miss
00000dbe      6  1be      3   0 miss hit     5     2e   3 miss      b   b miss
00000eab      7   ab      3   1 hit          2     12   2 miss      4   a miss
000004c6      2   c6      1   0 miss hit     7     3b   0 miss      e   c miss
00000961      4  161      2   0 miss hit     4     25   2 miss      9   6 miss
00000e25      7   25      3   1 hit          2     10   2 miss      4   2 miss
0000089d      4   9d      2   0 hit          4     22   1 miss      8   9 miss
00000cb9      6   b9      3   0 miss hit     5     2a   3 miss      a   b hit 
000003ed      1  1ed      0   1 miss hit     6     37   2 miss      d   e miss
00000b19      5  119      2   1 miss hit     0      4   1 miss      1   1 miss
00000759      3  159      1   1 miss hit     1      d   1 miss      3   5 miss
0000093c      4  13c      2   0 miss hit     4     24   3 miss      9   3 miss
00000d87      6  187      3   0 miss hit     5     2e   0 miss      b   8 miss
0000012b      0  12b      0   0 miss hit     3     1c   2 miss      7   2 miss
00000a3a      5   3a      2   1 miss hit     0      0   3 miss      0   3 miss
000008f2      4   f2      2   0 miss hit     4     23   3 miss      8   f miss
0000091d      4  11d      2   0 hit          4     24   1 miss      9   1 hit 
00000ea6      7   a6      3   1 miss hit     2     12   2 miss      4   a hit 
00000f1b      7  11b      3   1 hit          2     14   1 miss      5   1 miss
00000f8f      7  18f      3   1 hit          2     16   0 miss      5   8 miss
00000d0e      6  10e      3   0 miss hit     5     2c   0 miss      b   0 miss
00000964      4  164      2   0 miss hit     4     25   2 miss      9   6 hit 
0000099d      4  19d      2   0 hit          4     26   1 miss      9   9 miss
0000021f      1   1f      0   1 miss hit     6     30   1 miss      c   1 miss
00000f10      7  110      3   1 miss hit     2     14   1 miss      5   1 hit 
00000005      0    5      0   0 miss hit     3     18   0 miss      6   0 miss
00000bc7      5  1c7      2   1 miss hit     0      7   0 miss      1   c miss
000008a8      4   a8      2   0 miss hit     4     22   2 miss      8   a miss
00000711      3  111      1   1 miss hit     1      c   1 miss      3   1 miss
00000e48      7   48      3   1 miss hit     2     11   0 miss      4   4 miss
00000e3d      7   3d      3   1 hit          2     10   3 miss      4   3 miss
000001eb      0  1eb      0   0 miss hit     3     1f   2 miss      7   e miss
00000ce4      6   e4      3   0 miss hit     5     2b   2 miss      a   e miss
00000ab2      5   b2      2   1 miss hit     0      2   3 miss      0   b miss
000008ec      4   ec      2   0 miss hit     4     23   2 miss      8   e miss
00000e3c      7   3c      3   1 miss hit     2     10   3 miss      4   3 hit 
000007c0      3  1c0      1   1 miss hit     1      f   0 miss      3   c miss
00000fa6      7  1a6      3   1 miss hit     2     16   2 miss      5   a miss
00000a88      5   88      2   1 miss hit     0      2   0 miss      0   8 miss
000007f4      3  1f4      1   1 miss hit     1      f   3 miss      3   f miss
00000d45      6  145      3   0 miss hit     5     2d   0 miss      b   4 miss
00000080      0   80      0   0 miss hit     3     1a   0 miss      6   8 miss
000002be      1   be      0   1 miss hit     6     32   3 miss      c   b miss
00000183      0  183      0   0 hit          3     1e   0 miss      7   8 miss
00000b9d      5  19d      2   1 miss hit     0      6   1 miss      1   9 miss
00000bdf      5  1df      2   1 hit          0      7   1 miss      1   d miss
00000ef7      7   f7      3   1 miss hit     2     13   3 miss      4   f miss
00000a0d      5    d      2   1 miss hit     0      0   0 miss      0   0 miss
00000a1a      5   1a      2   1 hit          0      0   1 miss      0   1 miss
00000dc4      6  1c4      3   0 miss hit     5     2f   0 miss      b   c miss
00000df0      6  1f0      3   0 hit          5     2f   3 miss      b   f miss
00000975      4  175      2   0 miss hit     4     25   3 miss      9   7 miss
000008bf      4   bf      2   0 hit          4     22   3 miss      8   b miss
00000e33      7   33      3   1 miss hit     2     10   3 miss      4   3 hit 
00000780      3  180      1   1 miss hit     1      e   0 miss      3   8 miss
00000377      1  177      0   1 miss hit     6     35   3 miss      d   7 hit 
00000ea5      7   a5      3   1 miss hit     2     12   2 miss      4   a hit 
00000e23      7   23      3   1 hit          2     10   2 miss      4   2 hit 
000004a1      2   a1      1   0 miss hit     7     3a   2 miss      e   a miss
00000621      3   21      1   1 miss hit     1      8   2 miss      2   2 miss
00000518      2  118      1   0 hit          7     3c   1 miss      f   1 miss
00000d88      6  188      3   0 miss hit     5     2e   0 miss      b   8 miss
00000226      1   26      0   1 miss hit     6     30   2 miss      c   2 miss
00000244      1   44      0   1 hit          6     31   0 miss      c   4 miss
000007c1      3  1c1      1   1 miss hit     1      f   0 miss      3   c hit 
00000a44      5   44      2   1 miss hit     0      1   0 miss      0   4 miss
00000114      0  114      0   0 miss hit     3     1c   1 miss      7   1 miss
000008f8      4   f8      2   0 miss hit     4     23   3 miss      8   f hit 
0000029b      1   9b      0   1 miss hit     6     32   1 miss      c   9 miss
00000bb1      5  1b1      2   1 miss hit     0      6   3 miss      1   b miss
00000888      4   88      2   0 hit          4     22   0 miss      8   8 miss
00000039      0   39      0   0 miss hit     3     18   3 miss      6   3 miss
00000320      1  120      0   1 miss hit     6     34   2 miss      d   2 miss
00000933      4  133      2   0 miss hit     4     24   3 miss      9   3 hit 
00000d51      6  151      3   0 miss hit     5     2d   1 miss      b   5 hit 
000005a8      2  1a8      1   0 miss hit     7     3e   2 miss      f   a miss
00000871      4   71      2   0 miss hit     4     21   3 miss      8   7 miss
00000d3a      6  13a      3   0 miss hit     5     2c   3 miss      b   3 miss
00000f0d      7  10d      3   1 miss hit     2     14   0 miss      5   0 miss
000000ae      0   ae      0   0 miss hit     3     1a   2 miss      6   a miss
00000a0d      5    d      2   1 miss hit     0      0   0 miss      0   0 hit 
