Data TLB contains 2 sets.
Each set contains 1 entries.
Number of bits used for the index is 1.

Number of virtual pages is 8.
Number of physical pages is 8.
Each page contains 512 bytes.
Number of bits used for the page table index is 3.
Number of bits used for the page offset is 9.

D-cache contains 4 sets.
Each set contains 1 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 2.
Number of bits used for the offset is 4.

L2-cache contains 16 sets.
Each set contains 4 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 4.
Number of bits used for the offset is 4.

The addresses read in are virtual addresses.

Virtual  Virt.  Page TLB    TLB TLB  PT   Phys        DC  DC          L2  L2  
Address  Page # Off  Tag    Ind Res. Res. Pg # DC Tag Ind Res. L2 Tag Ind Res.
-------- ------ ---- ------ --- ---- ---- ---- ------ --- ---- ------ --- ----
000008e1      4   e1      2   0 miss hit     4     23   2 miss      8   e miss
00000a1e      5   1e      2   1 miss hit     0      0   1 miss      0   1 miss
000003e7      1  1e7      0   1 miss hit     6     37   2 miss      d   e hit 
00000436      2   36      1   0 miss hit     7     38   3 miss      e   3 miss
0000008f      0   8f      0   0 miss hit     3     1a   0 miss      6   8 miss
00000dc4      6  1c4      3   0 miss hit     5     2f   0 miss      b   c hit 
00000554      2  154      1   0 miss hit     7     3d   1 miss      f   5 miss
00000a55      5   55      2   1 miss hit     0      1   1 miss      0   5 miss
00000d28      6  128      3   0 miss hit     5     2c   2 miss      b   2 miss
000009d1      4  1d1      2   0 miss hit     4     27   1 miss      9   d hit 
00000224      1   24      0   1 miss hit     6     30   2 miss      c   2 miss
0000075d      3  15d      1   1 miss hit     1      d   1 miss      3   5 miss
00000d24      6  124      3   0 miss hit     5     2c   2 miss      b   2 hit 
0000030b      1  10b      0   1 miss hit     6     34   0 miss      d   0 hit 
00000d13      6  113      3   0 hit          5     2c   1 miss      b   1 miss
00000556      2  156      1   0 miss hit     7     3d   1 miss      f   5 hit 
00000048      0   48      0   0 miss hit     3     19   0 miss      6   4 hit 
00000e34      7   34      3   1 miss hit     2     10   3 miss      4   3 miss
000004e9      2   e9      1   0 miss hit     7     3b   2 miss      e   e miss
00000c81      6   81      3   0 miss hit     5     2a   0 miss      a   8 miss
00000432      2   32      1   0 miss hit     7     38   3 miss      e   3 hit 
000004d3      2   d3      1   0 hit          7     3b   1 miss      e   d miss
00000bcd      5  1cd      2   1 miss hit     0      7   0 miss      1   c miss
0000001f      0   1f      0   0 miss hit     3     18   1 miss      6   1 miss
000003e9      1  1e9      0   1 miss hit     6     37   2 miss      d   e hit 
00000ed4      7   d4      3   1 miss hit     2     13   1 miss      4   d miss
0000044f      2   4f      1   0 miss hit     7     39   0 miss      e   4 miss
0000035b      1  15b      0   1 miss hit     6     35   1 miss      d   5 miss
00000f25      7  125      3   1 miss hit     2     14   2 miss      5   2 miss
00000723      3  123      1   1 miss hit     1      c   2 miss      3   2 miss
00000ce8      6   e8      3   0 miss hit     5     2b   2 miss      a   e miss
0000035b      1  15b      0   1 miss hit     6     35   1 hit                 
00000cf9      6   f9      3   0 hit          5     2b   3 miss      a   f miss
00000038      0   38      0   0 miss hit     3     18   3 miss      6   3 miss
00000151      0  151      0   0 hit          3     1d   1 miss      7   5 miss
00000232      1   32      0   1 hit          6     30   3 miss      c   3 miss
00000760      3  160      1   1 miss hit     1      d   2 miss      3   6 miss
00000753      3  153      1   1 hit          1      d   1 miss      3   5 hit 
00000446      2   46      1   0 miss hit     7     39   0 hit                 
00000b96      5  196      2   1 miss hit     0      6   1 miss      1   9 miss
00000bda      5  1da      2   1 hit          0      7   1 miss      1   d miss
00000e08      7    8      3   1 miss hit     2     10   0 miss      4   0 hit 
00000a3c      5   3c      2   1 miss hit     0      0   3 miss      0   3 miss
00000f33      7  133      3   1 miss hit     2     14   3 miss      5   3 miss
00000013      0   13      0   0 miss hit     3     18   1 miss      6   1 hit 
00000758      3  158      1   1 miss hit     1      d   1 miss      3   5 hit 
00000fed      7  1ed      3   1 miss hit     2     17   2 miss      5   e miss
00000c7d      6   7d      3   0 miss hit     5     29   3 miss      a   7 miss
00000bf5      5  1f5      2   1 miss hit     0      7   3 miss      1   f miss
00000c0f      6    f      3   0 hit          5     28   0 miss      a   0 miss
00000dbb      6  1bb      3   0 hit          5     2e   3 miss      b   b miss
00000a92      5   92      2   1 hit          0      2   1 miss      0   9 miss
000003ea      1  1ea      0   1 miss hit     6     37   2 miss      d   e hit 
000002ba      1   ba      0   1 hit          6     32   3 miss      c   b miss
00000526      2  126      1   0 miss hit     7     3c   2 miss      f   2 miss
